央视,#genre#
CCTV4,http://115.58.142.128:4000/rtp/225.1.5.30:1333
CCTV4,http://115.58.142.128:4000/rtp/225.1.4.4:1033
CCTV4,http://115.58.142.128:4000/rtp/225.1.5.31:1342
CCTV4,http://115.58.142.128:4000/rtp/225.1.5.32:1343
CCTV4,http://114.250.17.90:4022/rtp/239.3.1.105:8092
CCTV4,http://114.250.17.90:4022/rtp/239.3.1.213:4220
CCTV4,http://114.250.17.90:4022/rtp/239.3.1.214:4220
CCTV4,http://123.112.242.16:5555/rtp/239.3.1.105:8092
CCTV4,http://123.112.242.16:5555/rtp/239.3.1.213:4220
CCTV4,http://123.112.242.16:5555/rtp/239.3.1.214:4220
CCTV4,http://171.124.1.122:8083/rtp/226.0.2.156:9160
CCTV4,http://171.124.1.122:8083/rtp/226.0.2.21:8080
CCTV4,http://27.10.213.135:8005/rtp/225.0.4.176:7980
CCTV4,http://27.10.213.135:8005/rtp/225.0.4.3:7980
CCTV4,http://42.237.223.102:8899/rtp/225.1.5.30:1333
CCTV4,http://42.237.223.102:8899/rtp/225.1.4.4:1033
CCTV4,http://42.237.223.102:8899/rtp/225.1.5.31:1342
CCTV4,http://42.237.223.102:8899/rtp/225.1.5.32:1343
CCTV4,http://111.199.3.230:8686/rtp/239.3.1.105:8092
CCTV4,http://111.199.3.230:8686/rtp/239.3.1.213:4220
CCTV4,http://111.199.3.230:8686/rtp/239.3.1.214:4220
CCTV4,http://171.43.64.195:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://220.187.221.205:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://1.197.203.33:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://115.227.214.223:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://115.227.214.223:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://114.245.199.54:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV4,http://123.55.237.68:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.124.177.38:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.25.222.180:85/tsfile/live/45/1010.m3u8?key=txiptv
CCTV4,http://60.187.244.160:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.120.0.171:4022/rtp/239.3.1.173:8001
CCTV5+,http://123.120.0.171:4022/rtp/239.3.1.130:8004
CCTV5,http://123.120.0.171:4022/rtp/239.3.1.89:4120
CCTV5,http://113.25.105.225:10000/rtp/239.1.1.11:8011
CCTV5+,http://113.25.105.225:10000/rtp/239.1.1.12:8012
CCTV5,http://123.14.80.113:9003/hls/5/index.m3u8
CCTV5,http://123.14.80.113:9003/hls/18/index.m3u8
CCTV5,http://115.58.142.128:4000/rtp/225.1.4.159:1195
CCTV5,http://115.58.142.128:4000/rtp/225.1.4.75:1104
CCTV5,http://114.250.17.90:4022/rtp/239.3.1.173:8001
CCTV5+,http://114.250.17.90:4022/rtp/239.3.1.130:8004
CCTV5,http://114.250.17.90:4022/rtp/239.3.1.89:4120
CCTV5,http://123.112.242.16:5555/rtp/239.3.1.173:8001
CCTV5+,http://123.112.242.16:5555/rtp/239.3.1.130:8004
CCTV5,http://123.112.242.16:5555/rtp/239.3.1.89:4120
CCTV5,http://171.124.1.122:8083/rtp/226.0.2.209:9584
CCTV5+,http://171.124.1.122:8083/rtp/226.0.2.168:9256
CCTV5,http://171.124.1.122:8083/rtp/226.0.2.22:8088
CCTV5,http://27.10.213.135:8005/rtp/225.0.4.143:7980
CCTV5+,http://27.10.213.135:8005/rtp/225.0.4.73:7980
CCTV5,http://27.10.213.135:8005/rtp/225.0.4.139:7980
CCTV5,http://42.237.223.102:8899/rtp/225.1.4.159:1195
CCTV5,http://42.237.223.102:8899/rtp/225.1.4.75:1104
CCTV5,http://111.199.3.230:8686/rtp/239.3.1.173:8001
CCTV5+,http://111.199.3.230:8686/rtp/239.3.1.130:8004
