🕘️更新时间,#genre#
2026-08-10 16:21:03,http://172.50.0.2:7777/hls/70dc771b6aea60a8701f181f.m3u8

📺央视频道,#genre#
CCTV-4 中文国际,http://172.50.0.2:7777/hls/70dc771b6aea60a8701f181f.m3u8
CCTV-14 少儿,http://172.50.0.2:7777/hls/4da70e52ad663082c2198379.m3u8
CCTV-15 音乐,http://172.50.0.2:7777/hls/505c98d35a3a5b59c1d8d025.m3u8

📺CETV（中国教育电视台）,#genre#

💰央视付费频道,#genre#

📺CGTN（中国国际电视台）,#genre#
CGTN 国际,http://172.50.0.2:7777/hls/a30286614d1ae018a2870ae2.m3u8
CGTN-Documentary （CGTN纪录）,http://172.50.0.2:7777/hls/dbf3fed8beee6ae907b98a64.m3u8
CGTN-Documentary （CGTN纪录）,http://172.50.0.2:7777/hls/0c15da397cafeca9e2bba01c.m3u8
CGTN-Documentary （CGTN纪录）,http://172.50.0.2:7777/hls/56d9547a9bd30e477223bfd6.m3u8
CGTN-Español （CGTN西语）,http://172.50.0.2:7777/hls/af2fef38fb33b0508caefd55.m3u8
CGTN-Français （CGTN法语）,http://172.50.0.2:7777/hls/b1ed55834551798f90abe727.m3u8
CGTN-العربية （CGTN阿语）,http://172.50.0.2:7777/hls/f5757137cf6e2ffd9b23e60e.m3u8
CGTN-Pусский （CGTN俄语）,http://172.50.0.2:7777/hls/130673054ace1577a1fec947.m3u8

📡卫视频道,#genre#
东方卫视（上海卫视）,http://172.50.0.2:7777/hls/8e9d90a14746acca3813f981.m3u8
东方卫视（上海卫视）,http://172.50.0.2:7777/hls/37255f374b4363df0203dd41.m3u8
东方卫视（上海卫视）,http://172.50.0.2:7777/hls/e849196b46560c5bd0d3d891.m3u8
东南卫视（福建卫视）,http://172.50.0.2:7777/hls/b1eef338876b0878bacf3bca.m3u8
广东卫视,http://172.50.0.2:7777/hls/834cef608bfb7fe3a5c28caa.m3u8
广西卫视,http://172.50.0.2:7777/hls/ca70e8d9c93220b814ba66da.m3u8
广西卫视,http://172.50.0.2:7777/hls/a8525a7b0843ed3b8954b512.m3u8
黑龙江卫视,http://172.50.0.2:7777/hls/531a1dd8e19d39b96cb26b41.m3u8
香港卫视,http://172.50.0.2:7777/hls/ecddb7d394a95c60f38eb135.m3u8

☘️河南频道,#genre#
临颍综合,http://172.50.0.2:7777/hls/-8083345850299508470.m3u8
义马新闻综合,http://172.50.0.2:7777/hls/-6465071697750929903.m3u8
义马新闻综合,http://172.50.0.2:7777/hls/7851674666872024794.m3u8
叶县,http://172.50.0.2:7777/hls/-1982630128978803633.m3u8
唐河一套,http://172.50.0.2:7777/hls/-6528265325409304444.m3u8
固始综合,http://172.50.0.2:7777/hls/-994765818027035650.m3u8
宝丰综合,http://172.50.0.2:7777/hls/7353877270011687895.m3u8
巩义新闻综合,http://172.50.0.2:7777/hls/-536827564522628571.m3u8
扶沟综合,http://172.50.0.2:7777/hls/-1889055284295538169.m3u8
扶沟综合,http://172.50.0.2:7777/hls/-6359501922655524941.m3u8
扶沟综合,http://172.50.0.2:7777/hls/3217674773512713596.m3u8
新乡县电视台,http://172.50.0.2:7777/hls/-6761668030865936632.m3u8
新县综合,http://172.50.0.2:7777/hls/-1087956458875725045.m3u8
新县综合,http://172.50.0.2:7777/hls/-3484543317994227535.m3u8
新蔡综合,http://172.50.0.2:7777/hls/902641134461113082.m3u8
新蔡综合,http://172.50.0.2:7777/hls/8030839206682871596.m3u8
新蔡综合,http://172.50.0.2:7777/hls/4863556611128512163.m3u8
渑池新闻综合,http://172.50.0.2:7777/hls/-807110566183946007.m3u8
渑池新闻综合,http://172.50.0.2:7777/hls/2086118977141456948.m3u8
温县综合,http://172.50.0.2:7777/hls/-3167564525658635361.m3u8
潢川综合,http://172.50.0.2:7777/hls/-5207295272604935551.m3u8
潢川综合,http://172.50.0.2:7777/hls/-7047346134035263438.m3u8
禹州综合,http://172.50.0.2:7777/hls/-2375556917782947058.m3u8
西华综合,http://172.50.0.2:7777/hls/7984482616273082969.m3u8
西华综合,http://172.50.0.2:7777/hls/120129689206825976.m3u8
西华综合,http://172.50.0.2:7777/hls/7350395215872038239.m3u8
郏县综合,http://172.50.0.2:7777/hls/2500106736851011389.m3u8
鄢陵综合,http://172.50.0.2:7777/hls/-407789335719934883.m3u8
项城新闻,http://172.50.0.2:7777/hls/-933789858754412567.m3u8
荥阳综合,http://172.50.0.2:7777/hls/b8e8fba8385101f7510b9707.m3u8
灵宝新闻综合,http://172.50.0.2:7777/hls/-7985886686238556516.m3u8
滑县新闻,http://172.50.0.2:7777/hls/7022158202994215107.m3u8
济源电视一套,http://172.50.0.2:7777/hls/2405183549026572963.m3u8
洛阳科教,http://172.50.0.2:7777/hls/-4495565055512150828.m3u8
洛阳文旅,http://172.50.0.2:7777/hls/7212715580279024856.m3u8
沁阳新闻综合,http://172.50.0.2:7777/hls/6073016873424188728.m3u8
永城综合,http://172.50.0.2:7777/hls/94083e9527a1f0462b5a4960.m3u8
方城一套,http://172.50.0.2:7777/hls/-6445240403453305426.m3u8
新野综合,http://172.50.0.2:7777/hls/0ad1cba1de10472da2eacbd2.m3u8
新野综合,http://172.50.0.2:7777/hls/a2726a9e88d4b586e6eaed48.m3u8
