🕘️更新时间,#genre#
2026-09-04 14:13:47,http://172.50.0.2:7777/hls/d46e073f09f6c556f318ccd2.m3u8

📺央视频道,#genre#
CCTV-1 综合,http://172.50.0.2:7777/hls/d46e073f09f6c556f318ccd2.m3u8
CCTV-2 财经,http://172.50.0.2:7777/hls/e69b00690848923ca9c2db23.m3u8
CCTV-3 综艺,http://172.50.0.2:7777/hls/033594a61aef9844f8f79151.m3u8
CCTV-6 电影,http://172.50.0.2:7777/hls/18b1eff254b91b02ddbadd49.m3u8
CCTV-7 国防军事,http://172.50.0.2:7777/hls/e6e1f6bdea3217bba2f1996b.m3u8
CCTV-8 电视剧,http://172.50.0.2:7777/hls/354e0ab00c9c0bc4eb66eff5.m3u8
CCTV-9 纪录,http://172.50.0.2:7777/hls/c03c94aa2c2e999da26b2941.m3u8
CCTV-10 科教,http://172.50.0.2:7777/hls/70a4e03d69680fea9bff7bff.m3u8
CCTV-11 戏曲,http://172.50.0.2:7777/hls/0ddc76bb153118ad7c4a34cc.m3u8
CCTV-12 社会与法,http://172.50.0.2:7777/hls/633684540d065235a265678a.m3u8
CCTV-13 新闻,http://172.50.0.2:7777/hls/42006108611dd27b1f3a163c.m3u8
CCTV-15 音乐,http://172.50.0.2:7777/hls/ebbcd34d17c6efc1502a8ce5.m3u8
CCTV-16 奥林匹克,http://172.50.0.2:7777/hls/5d59aa6d1921f81d5a9f3382.m3u8
CCTV-17 农业农村,http://172.50.0.2:7777/hls/f9e8ee7318a732f1e46813fb.m3u8
CHC动作电影,http://172.50.0.2:7777/hls/a651b292bcf960aa6efe8668.m3u8
CHC家庭影院,http://172.50.0.2:7777/hls/a73dcdfa38b1ecd1706dd528.m3u8

📺CETV（中国教育电视台）,#genre#
CETV-1 教育综合,http://172.50.0.2:7777/hls/442c6f86d6dd05e0d9950468.m3u8
CETV-2 教育教学,http://172.50.0.2:7777/hls/82ea2669b6a737a4550e3381.m3u8

💰央视付费频道,#genre#
CCTV-风云剧场,http://172.50.0.2:7777/hls/1c3d6727529514b9131908ec.m3u8
CCTV-怀旧剧场,http://172.50.0.2:7777/hls/430c1f635de762129bb57cee.m3u8
CCTV-世界地理,http://172.50.0.2:7777/hls/d19c227416e604e9847a431f.m3u8
CCTV-高尔夫·网球,http://172.50.0.2:7777/hls/3acd99318cdf7c4146caac86.m3u8
CCTV-兵器科技,http://172.50.0.2:7777/hls/15a7eafe894a990949f4ad87.m3u8
CCTV-女性时尚,http://172.50.0.2:7777/hls/93e606de11ab8f6989890ec7.m3u8

📺CGTN（中国国际电视台）,#genre#

📡卫视频道,#genre#
贵州卫视,http://172.50.0.2:7777/hls/38f0da21b7c266ef750a0b57.m3u8
湖北卫视,http://172.50.0.2:7777/hls/9a2de624c99e5bee22e384a4.m3u8
湖南卫视,http://172.50.0.2:7777/hls/6833f77050c3cf784c1c165c.m3u8
吉林卫视,http://172.50.0.2:7777/hls/0931f366e11b20b7544fed91.m3u8
江苏卫视,http://172.50.0.2:7777/hls/fbbce930e9dca875cb52a9d2.m3u8
江西卫视,http://172.50.0.2:7777/hls/0956d701e76b92ff8192c5d0.m3u8
辽宁卫视,http://172.50.0.2:7777/hls/1f893ed7417cfb225884a527.m3u8
内蒙古卫视,http://172.50.0.2:7777/hls/653924c5609c73e269f17871.m3u8
青海卫视,http://172.50.0.2:7777/hls/2e29d283a81ff5216c6b0e49.m3u8
山东卫视,http://172.50.0.2:7777/hls/4530c21547d2be44f28d1693.m3u8
山西卫视,http://172.50.0.2:7777/hls/d69badfcc630cf1e5a72936f.m3u8
陕西卫视,http://172.50.0.2:7777/hls/fb84697aa4ee3d1bd8415413.m3u8
深圳卫视,http://172.50.0.2:7777/hls/9ef3142529351ece2a30fc62.m3u8
四川卫视,http://172.50.0.2:7777/hls/2155cd66f4f17d55dc4f4172.m3u8
天津卫视,http://172.50.0.2:7777/hls/5c01c3ca99ec8a0b988f9a14.m3u8
浙江卫视,http://172.50.0.2:7777/hls/6107b018ee0cad5f94f0b924.m3u8
浙江卫视,http://172.50.0.2:7777/hls/9efaf6e9f6717a810ceea870.m3u8
重庆卫视,http://172.50.0.2:7777/hls/cc1a2354cc7cd9bed4b82774.m3u8

☘️河南频道,#genre#
河南都市频道,http://172.50.0.2:7777/hls/94cbd6d906f5b13fccf0e793.m3u8
荥阳综合,http://172.50.0.2:7777/hls/fd0d238284155e31fac24b52.m3u8

☘️广东频道,#genre#
广东体育,http://172.50.0.2:7777/hls/6c55132e7d23fa0196536528.m3u8
广东新闻,http://172.50.0.2:7777/hls/8e064c39ddd25ea323673cc2.m3u8
大湾区卫视,http://172.50.0.2:7777/hls/1ef512b04bac766bb9c2d57a.m3u8
广州综合,http://172.50.0.2:7777/hls/c96b0fe7ea0e2ada2b40a0ad.m3u8
广州综合,http://172.50.0.2:7777/hls/69da1a7f044052192df06caa.m3u8
广州综合,http://172.50.0.2:7777/hls/2ba9433498ba72bb2926e91b.m3u8
深圳卫视,http://172.50.0.2:7777/hls/-5948267726287410939.m3u8

☘️浙江频道,#genre#
浙江钱江,http://172.50.0.2:7777/hls/fc7c0ac03d41bf063350c93c.m3u8
浙江钱江,http://172.50.0.2:7777/hls/97dcf9d07f46b4065bac72a5.m3u8
浙江钱江,http://172.50.0.2:7777/hls/c1d10ee1e4cf598cfb4c2e4e.m3u8
浙江生活,http://172.50.0.2:7777/hls/b01cba50549586ac170688cf.m3u8
浙江经济生活,http://172.50.0.2:7777/hls/44ff20042352c916dcd186d1.m3u8
浙江教育,http://172.50.0.2:7777/hls/2d4ce131d914751b3b8c3f6e.m3u8
浙江民生,http://172.50.0.2:7777/hls/b6b959c5b2072bfb05962656.m3u8
浙江民生,http://172.50.0.2:7777/hls/3a9b35b2f5dc30b46d00302b.m3u8
浙江民生,http://172.50.0.2:7777/hls/e0f219a2e3e5d2eba1a23668.m3u8
浙江民生,http://172.50.0.2:7777/hls/a339392d4786a7fc132f0493.m3u8
浙江民生,http://172.50.0.2:7777/hls/4cb9e47bf86222e6b0dd6442.m3u8
浙江新闻,http://172.50.0.2:7777/hls/4901986d04e51bdef95b8838.m3u8
浙江新闻,http://172.50.0.2:7777/hls/05eb54af27abd93d4d426c11.m3u8
